Kürzel,Kanton,Name,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %
,,17.06.2012 «Eigene vier Wände dank Bausparen»,5149475,1984038,39,1934288,601449,1332839,31
,,11.03.2012 Buchpreisbindung,5139057,2305239,45,2200855,966633,1234222,44
,,11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,5139057,2300568,45,2200290,1916182,284108,87
,,11.03.2012 6 Wochen Ferien für alle,5139057,2334005,45,2303703,771717,1531986,34
,,11.03.2012 Für ein steuerlich begünstigtes Bausparen,5139057,2311923,45,2218098,980273,1237825,44
,,11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!,5139057,2321951,45,2276400,1152598,1123802,51
,,13.02.2011 Waffeninitiative,5092212,2501260,49,2479124,1083312,1395812,44
,,28.11.2010 Steuergerechtigkeits-Initiative,5083921,2662110,52,2583818,1073229,1510589,42
,,28.11.2010 Gegenentwurf zur Ausschaffungsinitiative,5083921,2690799,53,2674627,1189269,1407830,46
,,28.11.2010 Ausschaffungsinitiative,5083921,2690799,53,2674627,1397923,1243942,53
,,26.09.2010 Revision des Arbeitslosenversicherungsgesetzes,5077180,1819477,36,1795014,958913,836101,53
,,07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes,5051316,2311052,46,2263578,617209,1646369,27
,,07.03.2010 Tierschutzanwalt-Initiative,5051316,2314490,46,2276872,671731,1605141,30
,,07.03.2010 Forschung am Menschen,5051316,2297548,46,2212655,1708488,504167,77
,,29.11.2009 Verbot von Minaretten,5039710,2709287,54,2669450,1535010,1134440,58
,,29.11.2009 Verbot von Kriegsmaterial-Exporten,5039710,2690488,53,2635288,837156,1798132,32
,,29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr,5039710,2652205,53,2476795,1609682,867113,65
,,27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative,5030938,2034093,40,1925901,1307237,618664,68
,,27.09.2009 IV-Zusatzfinanzierung,5030938,2063128,41,2039548,1112818,926730,55
,,17.05.2009 Biometrische Pässe,5011176,1942864,39,1900665,953173,947492,50
,,17.05.2009 Verfassungsartikel zur Komplementärmedizin,5011176,1944267,39,1915453,1283893,631560,67
,,08.02.2009 Personenfreizügigkeit Schweiz-EU,4999664,2572040,51,2545031,1517132,1027899,60
,,30.11.2008 Betäubungsmittelgesetz,4993100,2355412,47,2264920,1541928,722992,68
,,30.11.2008 Hanfinitiative,4993100,2365431,47,2304885,846985,1457900,37
,,30.11.2008 Verbandsbeschwerderechts-Initiative,4993100,2359213,47,2275233,773467,1501766,34
,,30.11.2008 Initiative für ein flexibles AHV-Alter,4993100,2380196,48,2344819,970221,1374598,41
,,30.11.2008 Unverjährbarkeit pornografischer Straftaten an Kindern,4993100,2374312,48,2325442,1206323,1119119,52
,,01.06.2008 Gesundheitsartikel,4969834,2227203,45,2167007,661310,1505697,31
,,01.06.2008 Initiative «gegen Behördenprogaganda»,4969834,2229206,45,2173117,538926,1634191,25
,,01.06.2008 Einbürgerungsinitiative,4969834,2245570,45,2219972,804728,1415244,36
,,24.02.2008 Unternehmenssteuerreform II,4957778,1914955,39,1857732,938742,918990,51
,,24.02.2008 Initiative gegen Kampfjetlärm,4957778,1920885,39,1883177,601070,1282107,32
,,17.06.2007 5. IV-Revision,4929139,1784498,36,1758910,1039282,719628,59
,,11.03.2007 Einheitskrankenkasse,4914448,2257903,46,2232130,641917,1590213,29
,,26.11.2006 Familienzulagen,4902608,2206479,45,2178211,1480796,697415,68
,,26.11.2006 Ostzusammenarbeit,4902608,2205269,45,2168684,1158494,1010190,53
,,24.09.2006 Asylgesetz,4893738,2393806,49,2359186,1598552,760634,68
,,24.09.2006 Ausländergesetz,4893738,2393496,49,2357253,1602134,755119,68
,,24.09.2006 KOSA-Initiative,4893738,2385591,49,2333345,973831,1359514,42
,,21.05.2006 Bildungsartikel,4877742,1356059,28,1329116,1137450,191666,86
,,27.11.2005 Sonntagsarbeit,4859437,2056269,42,2030733,1026833,1003900,51
,,27.11.2005 Gentechfrei-Initiative,4859437,2052910,42,2022317,1125835,896482,56
,,25.09.2005 Ausdehnung der Personenfreizügigkeit,4852272,2634131,54,2605826,1458686,1147140,56
,,05.06.2005 Partnerschaftsgesetz,4836712,2733838,57,2687368,1559848,1127520,58
,,05.06.2005 Abkommen zu Schengen und Dublin,4836712,2739694,57,2704302,1477260,1227042,55
,,28.11.2004 Stammzellenforschungsgesetz,4819855,1785215,37,1742236,1156706,585530,66
,,28.11.2004 Neue Finanzordnung,4819855,1775770,37,1705557,1258895,446662,74
,,28.11.2004 Neugestaltung Finanzausgleich,4819855,1776714,37,1715896,1104565,611331,64
,,26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft,4814035,2590724,54,2555739,1417159,1138580,56
,,26.09.2004 Postdienst für alle,4814035,2577679,54,2506885,1247771,1259114,50
,,26.09.2004 Bürgerrechtserwerb für die dritte Generation,4814035,2591968,54,2561499,1238912,1322587,48
,,26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation,4814035,2591426,54,2558982,1106529,1452453,43
,,16.05.2004 Steuerpaket,4798197,2439677,51,2407385,821475,1585910,34
,,16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV,4798197,2439301,51,2407897,756550,1651347,31
,,16.05.2004 11. AHV-Revision,4798197,2438405,51,2407345,772773,1634572,32
,,08.02.2004 Initiative zur Verwahrung gefährlicher Straftäter,4788961,2180863,46,2133436,1198867,934569,56
,,08.02.2004 Mietrecht,4788961,2175425,45,2103019,755561,1347458,36
,,08.02.2004 Gegenentwurf zur Avanti-Initiative,4788961,2183037,46,2152132,800632,1351500,37
,,18.05.2003 Lehrstelleninitiative,4764659,2361583,50,2287256,722931,1564325,32
,,18.05.2003 Moratorium Plus,4764659,2363075,50,2297297,955624,1341673,42
,,18.05.2003 Strom ohne Atom,4764659,2369102,50,2324152,783586,1540566,34
,,18.05.2003 Gleiche Rechte für Behinderte,4764659,2367883,50,2310142,870249,1439893,38
,,18.05.2003 Gesundheitsinitiative,4764659,2367157,50,2307767,625073,1682694,27
,,18.05.2003 Sonntagsinitiative,4764659,2373187,50,2342747,881953,1460794,38
,,18.05.2003 Ja zu fairen Mieten,4764659,2362517,50,2289789,749388,1540401,33
,,18.05.2003 Zivilschutz,4764659,2358877,50,2270837,1829339,441498,81
,,18.05.2003 Armee XXI,4764659,2361382,50,2260029,1718452,541577,76
,,09.02.2003 Kantonale Beiträge an Spitalbehandlungen,4755703,1365354,29,1329801,1028673,301128,77
,,09.02.2003 Änderung Volksrechte,4755703,1365517,29,1327643,934005,393638,70
,,24.11.2002 Arbeitslosenversicherungsgesetz,4749994,2262121,48,2201223,1234793,966430,56
,,24.11.2002 Gegen Asylrechtsmissbrauch,4749994,2276582,48,2242892,1119342,1123550,50
,,22.09.2002 Elektrizitätsmarktgesetz,4744197,2125214,45,2051182,972770,1078412,47
,,22.09.2002 Gold für AHV, Kantone und Stiftung,4744197,2143027,45,2122367,984537,1057398,48
,,22.09.2002 Goldinitiative,4744197,2143027,45,2122367,984058,1085072,48
,,02.06.2002 Für Mutter und Kind,4730594,1972596,42,1931302,352432,1578870,18
,,02.06.2002 Fristenregelung,4730594,1978123,42,1939650,1399545,540105,72
,,03.03.2002 Kürzere Arbeitszeit,4721422,2750779,58,2708133,686935,2021198,25
,,03.03.2002 UNO-Beitritt,4721422,2758925,58,2726739,1489110,1237629,55
,,02.12.2001 Kapitalgewinnsteuer,4712583,1783571,38,1744109,594927,1149182,34
,,02.12.2001 Ziviler Friedensdienst,4712583,1783860,38,1744091,404870,1339221,23
,,02.12.2001 Schweiz ohne Armee,4712583,1787298,38,1757325,384905,1372420,22
,,02.12.2001 Energie statt Arbeit besteuern,4712583,1783507,38,1739748,397747,1342001,23
,,02.12.2001 Schuldenbremse,4712583,1782381,38,1737349,1472259,265090,85
,,10.06.2001 Aufhebung Bistumsartikel,4698399,1975658,42,1860664,1194556,666108,64
,,10.06.2001 Militärgesetz: Ausbildungszusammenarbeit,4698399,1996730,43,1957777,1001274,956503,51
,,10.06.2001 Militärgesetz: Bewaffnung,4698399,1997658,43,1965626,1002297,963329,51
,,04.03.2001 Strassen für alle,4688461,2616139,56,2588923,525609,2063314,20
,,04.03.2001 Arzneimittel-Initiative,4688461,2612008,56,2565718,791589,1774129,31
,,04.03.2001 Ja zu Europa!,4688461,2616119,56,2579766,597217,1982549,23
,,26.11.2000 Bundespersonalgesetz,4681043,1944222,42,1876376,1253995,622381,67
,,26.11.2000 Spitalkosteninitiative,4681043,1950182,42,1917536,343008,1574528,18
,,26.11.2000 Umverteilungsinitiative,4681043,1952765,42,1921970,723047,1198923,38
,,26.11.2000 Rentenalter ab 62 für Frau und Mann,4681043,1952766,42,1924757,885772,1038985,46
,,26.11.2000 Flexibilisierung der AHV,4681043,1950308,42,1916131,756337,1159794,40
,,24.09.2000 Konstruktives Referendum,4676482,2095513,45,1984806,676776,1308030,34
,,24.09.2000 Regelung der Zuwanderung,4676482,2117053,45,2084850,754626,1330224,36
,,24.09.2000 Umweltabgabe,4676482,2099325,45,2017747,898050,1119697,45
,,24.09.2000 Förderabgabe,4676482,2090548,45,2037256,922481,1055977,47
,,24.09.2000 Solarinitiative,4676482,2090548,45,2037256,636848,1364751,32
,,21.05.2000 Bilaterale Abkommen mit der EU,4664482,2253284,48,2228073,1497093,730980,67
,,12.03.2000 Verkehrshalbierungs-Initiative,4659124,1974530,42,1948123,415605,1532518,21
,,12.03.2000 Menschenwürdige Fortpflanzung,4659124,1966168,42,1911167,539795,1371372,28
,,12.03.2000 Quoten-Initiative,4659124,1965541,42,1927173,346314,1580859,18
,,12.03.2000 Beschleunigungs-Initiative,4659124,1961705,42,1909954,573038,1336916,30
,,12.03.2000 Justizreform,4659124,1953228,42,1864462,1610107,254355,86
,,13.06.1999 Mutterschaftsversicherung,4646362,2134884,46,2109282,822458,1286824,39
,,13.06.1999 Invalidenversicherung,4646362,2120659,46,2049783,620797,1428986,30
,,13.06.1999 Verschreibung von Heroin,4646362,2125369,46,2073312,1128393,944919,54
,,13.06.1999 Massnahmen Asyl- und Ausländerbereich,4646362,2119712,46,2043892,1447984,595908,71
,,13.06.1999 Asylgesetz,4646362,2117964,46,2044526,1443137,601389,71
,,18.04.1999 Neue Bundesverfassung,4642854,1666869,36,1638468,969310,669158,59
,,07.02.1999 Raumplanungsgesetz,4641615,1762026,38,1702612,952482,750130,56
,,07.02.1999 Wohneigentums-Initiative,4641615,1771969,38,1746742,721717,1025025,41
,,07.02.1999 Transplantationsmedizin,4641615,1762875,38,1711188,1501925,209263,88
,,07.02.1999 Wählbarkeit in den Bundesrat,4641615,1764453,38,1723592,1287081,436511,75
,,29.11.1998 Arbeitsgesetz,4638920,1767694,38,1692989,1072978,620011,63
,,29.11.1998 Vernünftige Drogenpolitik,4638920,1779697,38,1743521,453451,1290070,26
,,29.11.1998 Getreideartikel,4638920,1763920,38,1660058,1318585,341473,79
,,29.11.1998 Finanzierung öffentlicher Verkehr (FinöV),4638920,1777023,38,1739008,1104294,634714,64
,,27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter,4636259,2394024,52,2348105,973966,1374139,42
,,27.09.1998 Kleinbauern-Initiative,4636259,2391658,52,2329460,535436,1794024,23
,,27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA),4636259,2402260,52,2370105,1355735,1014370,57
,,07.06.1998 S.o.S.-Initiative,4629496,1897624,41,1834144,451089,1383055,25
,,07.06.1998 Gen-Schutz-Initiative,4629496,1913034,41,1877266,624964,1252302,33
,,07.06.1998 Haushaltsziel 2001,4629496,1894433,41,1810815,1280329,530486,71
,,28.09.1997 Jugend ohne Drogen,4620084,1886054,41,1859773,545713,1314060,29
,,28.09.1997 Finanzierung der Arbeitslosenversicherung,4620084,1876622,41,1832818,901361,931457,49
,,08.06.1997 Aufhebung Pulverregal,4614662,1626896,35,1543211,1268162,275049,82
,,08.06.1997 Kriegsmaterial-Initiative,4614662,1636833,36,1605033,361164,1243869,23
,,08.06.1997 EU-Beitrittsverhandlungen vors Volk,4614662,1635564,35,1606160,416720,1189440,26
,,01.12.1996 Arbeitsgesetz,4612266,2154933,47,2116835,697874,1418961,33
,,01.12.1996 Gegen die illegale Einwanderung,4612266,2156106,47,2121168,982867,1138301,46
,,09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz,4602577,1442422,31,1382620,544630,837990,39
,,09.06.1996 Landwirtschaftsartikel,4602577,1445966,31,1400408,1086534,313874,78
,,10.03.1996 Aufhebung Beiträge an Bahnhofparkplätze,4599427,1425049,31,1374011,741219,632792,54
,,10.03.1996 Übernahme von Branntwein und Brennapparaten,4599427,1422265,31,1349998,1090783,259215,81
,,10.03.1996 Persönliche militärische Ausrüstung,4599427,1426568,31,1376700,601613,775087,44
,,10.03.1996 Übertritt Vellerat zum Kanton Jura,4599427,1425539,31,1364833,1250728,114105,92
,,10.03.1996 Sprachenartikel,4599427,1427282,31,1381205,1052052,329153,76
,,25.06.1995 Erwerb von Grundstücken durch Ausländer,4591795,1852627,40,1797375,834673,962702,46
,,25.06.1995 Ausbau von AHV und IV,4591795,1852720,40,1806568,499266,1307302,28
,,25.06.1995 10. AHV-Revision,4591795,1856163,40,1828402,1110053,718349,61
,,12.03.1995 Ausgabenbremse,4583930,1735266,38,1668056,1390831,277225,83
,,12.03.1995 Landwirtschaftsgesetz,4583930,1738353,38,1696671,569950,1126721,34
,,12.03.1995 Milchwirtschaftsbeschluss,4583930,1738955,38,1699352,620745,1078607,37
,,12.03.1995 Landwirtschaftsartikel,4583930,1738895,38,1702322,836215,866107,49
,,04.12.1994 Zwangsmassnahmen im Ausländerrecht,4580035,2016575,44,1968337,1435040,533297,73
,,04.12.1994 Für eine gesunde Krankenversicherung,4580035,2014250,44,1964851,460674,1504177,23
,,04.12.1994 Krankenversicherungsgesetz,4580035,2014475,44,1971535,1021175,950360,52
,,25.09.1994 Antirassismusgesetz,4576512,2100739,46,2072637,1132662,939975,55
,,25.09.1994 Aufhebung Brotgetreideverbilligung,4576512,2082706,46,1995076,1288697,706379,65
,,12.06.1994 UNO-Blauhelme,4572713,2138973,47,2103362,899626,1203736,43
,,12.06.1994 Erleichterte Einbürgerung für junge Ausländer,4572713,2137944,47,2108615,1114158,994457,53
,,12.06.1994 Kulturförderungsartikel,4572713,2131789,47,2077213,1059025,1018188,51
,,20.02.1994 Luftfahrtgesetz,4567573,1856045,41,1771559,1081844,689715,61
,,20.02.1994 Alpen-Initiative,4567573,1865111,41,1838853,954491,884362,52
,,20.02.1994 Einführung leistungsabhängige Schwerverkehrsabgabe,4567573,1861208,41,1819541,1221630,597911,67
,,20.02.1994 Weiterführung Schwerverkehrsabgabe,4567573,1862531,41,1833464,1324242,509222,72
,,20.02.1994 Weiterführung Autobahnvignette,4567573,1863398,41,1839486,1259609,579877,69
,,28.11.1993 Verminderung Tabakprobleme,4565751,2077305,46,2043318,521433,1521885,26
,,28.11.1993 Verminderung Alkoholprobleme,4565751,2076808,46,2043219,516054,1527165,25
,,28.11.1993 Besondere Verbrauchssteuern,4565751,2072208,45,1998398,1212002,786396,61
,,28.11.1993 Mehrwertsteuer-% für AHV,4565751,2072283,45,2011254,1258782,752472,63
,,28.11.1993 Mehrwertsteuer Satz 6,5%,4565751,2071952,45,2016326,1163887,852439,58
,,28.11.1993 Einführung Mehrwertsteuer,4565751,2073194,45,2021431,1347400,674031,67
,,26.09.1993 Massnahmen in der Arbeitslosenversicherung,4553754,1809748,40,1740182,1225069,515113,70
,,26.09.1993 Befristete Massnahmen in der Krankenversicherung,4553754,1811582,40,1758211,1416209,342002,81
,,26.09.1993 1. August-Initiative,4553754,1816428,40,1781407,1492285,289122,84
,,26.09.1993 Kantonswechsel Laufental zu Basel-Landschaft,4553754,1798547,40,1581834,1188941,392893,75
,,26.09.1993 Waffenmissbrauch,4553754,1814663,40,1784808,1539782,245026,86
,,06.06.1993 Schweiz ohne neue Kampfflugzeuge,4559258,2534220,56,2510405,1074661,1435744,43
,,06.06.1993 40 Waffenplätze sind genug,4559258,2534004,56,2515705,1124893,1390812,45
,,07.03.1993 Abschaffung der Tierversuche,4551493,2331753,51,2286091,634758,1651333,28
,,07.03.1993 Aufhebung Spielbankenverbot,4551493,2332502,51,2298452,1665454,632998,73
,,07.03.1993 Erhöhung Treibstoffzoll,4551493,2333833,51,2310440,1259373,1051067,55
,,06.12.1992 EWR-Beitritt,4546571,3580094,79,3549580,1762872,1786708,50
,,27.09.1992 Bäuerliches Bodenrecht,4533617,2069711,46,1975408,1058317,917091,54
,,27.09.1992 Stempelabgaben,4533617,2070537,46,2001930,1230579,771351,62
,,27.09.1992 Infrastrukturgesetz,4533617,2061749,46,1930081,590484,1339597,31
,,27.09.1992 Entschädigungsgesetz,4533617,2065103,46,1967722,542768,1424954,28
,,27.09.1992 Geschätsverkehrsgesetz,4533617,2058710,45,1891317,1097185,794132,58
,,27.09.1992 Alpentransit-Beschluss (NEAT),4533617,2080785,46,2052962,1305914,747048,64
,,17.05.1992 Reform Sexualstrafrecht,4519144,1768752,39,1717327,1255604,461723,73
,,17.05.1992 Zivildienst für Dienstverweigerer,4519144,1772139,39,1747704,1442263,305441,83
,,17.05.1992 Fortpflanzungs- und Gentechnologie,4519144,1770487,39,1721687,1271052,450635,74
,,17.05.1992 Gewässerschutz-Initiative,4519144,1771722,39,1738070,644083,1093987,37
,,17.05.1992 Gewässerschutzgesetz,4519144,1771843,39,1742946,1151706,591240,66
,,17.05.1992 Mitwirkung an den Institutionen von Bretton Woods,4519144,1753278,39,1648183,929926,718257,56
,,17.05.1992 Beitritt zu den Institutionen von Bretton Woods,4519144,1753457,39,1654238,923685,730553,56
,,16.02.1992 Weg vom Tierversuch,4515485,2009400,45,1982134,864898,1117236,44
,,16.02.1992 Krankenkasseninitiative,4515485,2004983,44,1968545,772995,1195550,39
,,02.06.1991 Militärstrafgesetz,4499041,1499196,33,1468116,817458,650658,56
,,02.06.1991 Neuordnung Bundesfinanzen (Einführung Mehrwertsteuer),4499041,1496841,33,1455306,664318,790988,46
,,03.03.1991 Förderung öffentlicher Verkehr,4350879,1359014,31,1337094,496600,840494,37
,,03.03.1991 Stimmrecht für 18-jährige,4350879,1361213,31,1349072,981425,367647,73
,,23.09.1990 Strassenverkehrsgesetz,4345490,1751210,40,1702691,898958,803733,53
,,23.09.1990 Energieartikel,4345490,1752962,40,1708786,1214940,493846,71
,,23.09.1990 Moratorium Atomkraftwerkbau,4345490,1757127,40,1735306,946087,789219,55
,,23.09.1990 Ausstieg Atomenergie,4345490,1756278,40,1732049,816300,915749,47
,,01.04.1990 Organisation der Bundesrechtspflege,4327120,1762581,41,1638423,775885,862538,47
,,01.04.1990 Rebbaubeschluss,4327120,1766240,41,1652816,771207,881609,47
,,01.04.1990 Freie Aarelandschaft Biel-Solothurn,4327120,1776633,41,1739696,592237,1147459,34
,,01.04.1990 Autobahnfreies Kononauer Amt,4327120,1779697,41,1745060,547359,1197701,31
,,01.04.1990 Autobahnfreie Landschaft Murten-Yverdon,4327120,1778172,41,1747004,571648,1175356,33
,,01.04.1990 Begrenzung des Strassenbaus,4327120,1779499,41,1755812,500615,1255197,29
,,26.11.1989 Pro Tempo 130/100,4320933,2987966,69,2962979,1126458,1836521,38
,,26.11.1989 Schweiz ohne Armee,4320933,2989326,69,2956918,1052442,1904476,36
,,04.06.1989 Kleinbauern-Initiative,4302785,1547257,36,1515465,741772,773693,49
,,04.12.1988 Begrenzung der Einwanderung,4285419,2264316,53,2238421,731929,1506492,33
,,04.12.1988 Herabsetzung Arbeitszeit,4285419,2265390,53,2244800,769264,1475536,34
,,04.12.1988 Gegen die Bodenspekulation,4285419,2263924,53,2230103,686398,1543705,31
,,12.06.1988 Herabsetzung AHV-Rentenalter,4267923,1793431,42,1777930,624390,1153540,35
,,12.06.1988 Koordinierte Verkehrspolitik,4267923,1788125,42,1753255,797955,955300,46
,,06.12.1987 Rothenthurm-Initiative,4250684,2026330,48,1997003,1153448,843555,58
,,06.12.1987 Krankenversicherungsgesetz,4250684,2026041,48,1989678,571447,1418231,29
,,06.12.1987 Bahn 2000,4250684,2027274,48,2001750,1140857,860893,57
,,05.04.1987 Initiativen mit Gegenentwurf,4223723,1785014,42,1708657,1080992,627665,63
,,05.04.1987 Rüstungsreferendum,4223723,1791628,42,1760846,714209,1046637,41
,,05.04.1987 Ausländergesetz,4223723,1783988,42,1707487,1122027,585460,66
,,05.04.1987 Asylgesetz,4223723,1790092,42,1752412,1180082,572330,67
,,07.12.1986 Besteuerung Schwerverkehr,4210819,1462909,35,1434542,485930,948612,34
,,07.12.1986 Mieterschutz,4210819,1461588,35,1432711,922221,510490,64
,,28.09.1986 Zuckerbeschluss,4203197,1466799,35,1435505,547779,887726,38
,,28.09.1986 Berufsbildung und Umschulung,4203197,1463399,35,1423997,261759,1162238,18
,,28.09.1986 Gegenentwurf zur Kulturinitiative,4203197,1460318,35,1394571,548081,670195,45
,,28.09.1986 Kulturinitiative,4203197,1460318,35,1394571,232326,1048679,18
,,16.03.1986 UNO-Beitritt,4181276,2120130,51,2102863,511713,1591150,24
,,01.12.1985 Abschaffung der Vivisektion,4167376,1582278,38,1558480,459358,1099122,30
,,22.09.1985 Neues Eherecht,4160547,1709875,41,1684362,921743,762619,55
,,22.09.1985 Innovationsrisikogarantie,4160547,1700216,41,1612795,695288,917507,43
,,22.09.1985 Koordination Schuljahresbeginn,4160547,1705700,41,1672922,984463,688459,59
,,09.06.1985 Selbstversorgung mit Brotgetreide,4144312,1463634,35,1379907,787156,592751,57
,,09.06.1985 Neuverteilung Alkoholabgabe,4144312,1460771,35,1358453,982318,376135,72
,,09.06.1985 Kantonsanteil Stempelabgaben,4144312,1460694,35,1357905,903345,454560,67
,,09.06.1985 Recht auf Leben,4144312,1480472,36,1447093,448016,999077,31
